Publication,General Category Name,Award,Entry
Newhouse School at Syracuse University,Line of Coverage: Social Media,Award of Excellence,High Stakes
Star Tribune,Line of Coverage: Social Media,Award of Excellence,Floyd's Search for Salvation
The Washington Post,Line of Coverage: Social Media,Award of Excellence,Race and Reckoning
ProPublica,Line of Coverage: Public Service,Award of Excellence,We Reviewed Police Tactics Seen in Nearly 400 Protest Videos. Here’s What We Found.
DR,Line of Coverage: Other,Award of Excellence,Dissection of a pop hit
Los Angeles Times,Line of Coverage: Other,Award of Excellence,The Chicano Moratorium at 50
Star Tribune,Line of Coverage: Other,Award of Excellence,Celebrating Sid Hartman
CNN,Product: Best Home page or Landing Page,Award of Excellence,CNN Style: The September Issues
F Newsmagazine,Product: Best Home page or Landing Page,Award of Excellence,November web issue landing page
Global Press Journal,Product: Best Home page or Landing Page,Award of Excellence,Global Press Journal
Metrópoles,Product: Best Home page or Landing Page,Award of Excellence,Elas por elas: os números por trás dos feminicídios em 2019 no DF
POLITIKEN,Product: Best Home page or Landing Page,Award of Excellence,POLITIKEN
POLITIKEN,Product: Best Home page or Landing Page,Award of Excellence,The Scandinavian Star – The Fire
POLITIKEN,Product: Best Home page or Landing Page,Award of Excellence,Foto 2020
Ruptly,Product: Best Home page or Landing Page,Award of Excellence,Dyatlov Group's Journal: The Last Page
The Markup,Product: Best Home page or Landing Page,Award of Excellence,The Markup
POLITIKEN,Product: Best mobile app,Award of Excellence,POLITIKEN mobile app
Quartz,Product: Best Newsletter Design,Award of Excellence,Quartz Weekly Obsession
The Marshall Project,Product: Best Newsletter Design,Award of Excellence,The System
The Telegraph,Product: Best Newsletter Design,Award of Excellence,The Telegraph Newsletters 2020
F Newsmagazine,"Product: Best new or redesigned product, site, page or app",Award of Excellence,April 2020 Special Issue
FiveThirtyEight,"Product: Best new or redesigned product, site, page or app",Award of Excellence,2020 Election Forecast
Global Press Journal,"Product: Best new or redesigned product, site, page or app",Award of Excellence,Global Press Journal Homepage
Los Angeles Times,"Product: Best new or redesigned product, site, page or app",Award of Excellence,101 Best L.A. Restaurants of 2020
NBC News x Quibi,"Product: Best new or redesigned product, site, page or app",Award of Excellence,Design System for The Report by NBC News on Quibi
Pentagram,"Product: Best new or redesigned product, site, page or app",Award of Excellence,Tablet
Ruptly,"Product: Best new or redesigned product, site, page or app",Award of Excellence,Dyatlov Group's Journal: The Last Page
The Atlantic,"Product: Best new or redesigned product, site, page or app",Award of Excellence,Floodlines
ABC News (Australia),"Product: Best storytelling, multimedia or interactive tools",Award of Excellence,Australia Talks Data Explorer
POLITICO,"Product: Best storytelling, multimedia or interactive tools",Award of Excellence,The 2020 Election Experience
POLITICO,"Product: Best storytelling, multimedia or interactive tools",Award of Excellence,Politico Minutes
Radio-Canada,"Product: Best storytelling, multimedia or interactive tools",Award of Excellence,3D Projects
Ruptly,"Product: Best storytelling, multimedia or interactive tools",Award of Excellence,Dyatlov Group's Journal: The Last Page
The Markup,"Product: Best storytelling, multimedia or interactive tools",Award of Excellence,Blacklight
de Volkskrant,Experimental design,Award of Excellence,The stroll
de Volkskrant,Experimental design,Award of Excellence,Art in isolation
EL TIEMPO,Experimental design,Award of Excellence,Next Level: From arcades to big stadiums
Los Angeles Times,Experimental design,Award of Excellence,Can you win prom?
Rest of World,Experimental design,Award of Excellence,Stat of the Day
TASS Russian News Agency,Experimental design,Award of Excellence,"It’s your turn, Leonov!"
The Washington Post,Experimental design,Award of Excellence,Washington Post Select
The Washington Post,Experimental design,Award of Excellence,Mia Torres: Washington Post Select
The Washington Post,Experimental design,Award of Excellence,Reconstructing seven days of protests in Minneapolis after George Floyd’s death
The Washington Post,Experimental design,Award of Excellence,Lucy Naland: Washington Post Select
The Washington Post,Experimental design,Award of Excellence,Aviva Loeb: Washington Post Select
The Washington Post,Experimental design,Award of Excellence,The Lily Instagram Reels
WHYNOT (Radio Free Asia),Experimental design,Award of Excellence,Tear Down the Label: 10 Post-90s' 30th Birthdays
Reuters,Portfolio: Story Page Design (Individual),Award of Excellence,Marco Hernandez
The New York Times,Portfolio: Story Page Design (Individual),Award of Excellence,Aliza Aufrichtig
The New York Times,Portfolio: Story Page Design (Individual),Award of Excellence,Rebecca Lieberman
The Straits Times	,Portfolio: Story Page Design (Individual),Award of Excellence,Alyssa Karla Mungcal
The Washington Post,Portfolio: Story Page Design (Individual),Award of Excellence,Andrew Braford
The Washington Post,Portfolio: Story Page Design (Individual),Award of Excellence,Jake Crump
The Washington Post,Portfolio: Story Page Design (Individual),Award of Excellence,Irfan Uraizee
ESPN, Portfolio: Story Page Design (Staff),Award of Excellence,ESPN Digital Staff
Star Tribune, Portfolio: Story Page Design (Staff),Award of Excellence,Star Tribune
The Globe and Mail, Portfolio: Story Page Design (Staff),Award of Excellence,Globe and Mail: Interactive team
FiveThirtyEight	,Portfolio: Infographics (Individual),Award of Excellence,Anna Wiederkehr
FiveThirtyEight	,Portfolio: Infographics (Individual),Award of Excellence,Ryan Best
ProPublica,Portfolio: Infographics (Individual),Award of Excellence,Lena V. Groeger
ProPublica,Portfolio: Infographics (Individual),Award of Excellence,Ash Ngu
ProPublica,Portfolio: Infographics (Individual),Award of Excellence,Al Shaw
ProPublica,Portfolio: Infographics (Individual),Award of Excellence,Moiz Syed
Reuters,Portfolio: Infographics (Individual),Award of Excellence,Samuel Granados
Reuters,Portfolio: Infographics (Individual),Award of Excellence,Chris Canipe
Reuters,Portfolio: Infographics (Individual),Award of Excellence,Manas Sharma
South China Morning Post,Portfolio: Infographics (Individual),Award of Excellence,Adolfo Arranz
Star Tribune,Portfolio: Infographics (Individual),Award of Excellence,C.J. Sinner
The New York Times,Portfolio: Infographics (Individual),Award of Excellence,Lazaro Gamio
Funke Mediengruppe,Portfolio: Infographics (Staff),Award of Excellence,Coronavirus-Monitor and satellite projects
Reuters,Portfolio: Infographics (Staff),Award of Excellence,Reuters: Graphics stories
Reuters,Portfolio: Infographics (Staff),Award of Excellence,Reuters: Graphics
South China Morning Post,Portfolio: Infographics (Staff),Award of Excellence,South China Morning Post: Portfolio 1
The Pudding,Portfolio: Infographics (Staff),Award of Excellence,The Pudding: Information Graphics
The Straits Times,Portfolio: Infographics (Staff),Award of Excellence,The Straits Times: Digital Graphics team
FiveThirtyEight,Portfolio: Art Direction (Individual),Award of Excellence,Emily Scherer
Los Angeles Times,Portfolio: Art Direction (Individual),Award of Excellence,Jamie Sholberg
POLITIKEN,Portfolio: Art Direction (Individual),Award of Excellence,Andreas Merrald
Rest of World,Portfolio: Art Direction (Individual),Award of Excellence,Cengiz Yar
The New York Times,Portfolio: Art Direction (Individual),Award of Excellence,Nick Konrad
The Washington Post,Portfolio: Art Direction (Individual),Award of Excellence,Amanda Soto
The Washington Post,Portfolio: Art Direction (Individual),Award of Excellence,María Alconada-Brooks
The Washington Post,Portfolio: Art Direction (Individual),Award of Excellence,Clare Ramirez
The Washington Post,Portfolio: Art Direction (Individual),Award of Excellence,Mia Torres
ESPN,Portfolio: Art Direction (Staff),Award of Excellence,Luke Knox
ProPublica,Portfolio: Art Direction (Staff),Award of Excellence,ProPublica: Visuals Desk
Star Tribune,Portfolio: Art Direction (Staff),Award of Excellence,Star Tribune Sleep Challenge
The Washington Post,Portfolio: Art Direction (Staff),Award of Excellence,The Washington Post
ABC News (Australia),Portfolio: Combination (Individual),Award of Excellence,Alex Palmer
Bloomberg,Portfolio: Combination (Individual),Award of Excellence,Hayley Warren
Star Tribune,Portfolio: Combination (Individual),Award of Excellence,Thomas Oide
La Nación,Portfolio: Combination (Staff),Award of Excellence,La Nación
Radio-Canada,Portfolio: Combination (Staff),Award of Excellence,Radio-Canada
The Marshall Project,Portfolio: Combination (Staff),Award of Excellence,The Marshall Project
The New York Times,Portfolio: Combination (Staff),Award of Excellence,The New York Times: Opinion Team
The Washington Post,Portfolio: Combination (Staff),Award of Excellence,The Washington Post
Reuters,Portfolio: Breaking News,Award of Excellence,Reuters
The Pudding,Portfolio: Social Media,Award of Excellence,The Pudding
The Washington Post,Portfolio: Social Media,Award of Excellence,The Lily: Snapchat
The Washington Post,Portfolio: Social Media,Award of Excellence,Washington Post: Snapchat
The State News,Portfolio: Student,Award of Excellence,Madison O'Connor
UNC-Chapel Hill Hussman School of Journalism,Portfolio: Student,Award of Excellence,Barriers
